head_id	head_name	relation	tail_id	tail_name	confidence	source
11851	Definition:Signature (Logic)	equivalent_to	16301	Definition:Model Theory	0.9	equiv_section
5531	Definition:Continued Proportion	equivalent_to	14939	Definition:Proportion/Continued	0.9	equiv_section
2949	Definition:Pascal's Triangle	equivalent_to	20421	Definition:Pascal's Triangle/Lesser Diagonal	0.9	equiv_section
23941	Product Rule for Divergence	equivalent_to	23918	Definition:Del Operator	0.9	equiv_section
753	Definition:Summation	equivalent_to	21048	Definition:Ore Number	0.9	equiv_section
12340	Definition:Unsatisfiable/Set of Formulas	equivalent_to	12378	Definition:Inconsistent (Logic)	0.9	equiv_section
2264	Definition:Propositional Formula	equivalent_to	88	Definition:Contingent Statement	0.9	equiv_section
39	Definition:Object	equivalent_to	30	Definition:Statement	0.9	equiv_section
6729	Definition:Finite Rank Operator	equivalent_to	3291	Definition:Linear Operator	0.9	equiv_section
6349	Definition:Subcontrary Statements	equivalent_to	81	Definition:Disjunction	0.9	equiv_section
18624	Definition:Reduced Residue System	equivalent_to	24829	Definition:Multiplicative Group of Reduced Residues	0.9	equiv_section
2327	Definition:Circuit (Graph Theory)	equivalent_to	2550	Condition for Edge to be Bridge	0.9	equiv_section
2653	Definition:Pseudograph	equivalent_to	2556	Definition:Loop-Graph	0.9	equiv_section
24939	Definition:Norm on Bounded Linear Transformation	equivalent_to	24921	Definition:Norm/Bounded Linear Transformation	0.9	equiv_section
2390	Definition:Bound Occurrence	equivalent_to	8753	Definition:Variable	0.9	equiv_section
10681	Definition:Empty Sequence	equivalent_to	6827	Definition:Sequence/Empty Sequence	0.9	equiv_section
23947	Curl of Curl is Gradient of Divergence minus Laplacian	equivalent_to	23918	Definition:Del Operator	0.9	equiv_section
11901	Definition:Vertex of Graph	equivalent_to	3353	Definition:Hasse Diagram	0.9	equiv_section
1869	Definition:Mersenne Number	equivalent_to	19973	Definition:Ramanujan-Nagell Number	0.9	equiv_section
45	Definition:Function	equivalent_to	12277	Definition:Real Function/Definition by Formula	0.9	equiv_section
26265	Definition:Order of Modified Bessel Function	equivalent_to	26268	Definition:Modified Bessel Function/Second Kind	0.9	equiv_section
10798	Definition:Geometric Distribution/Shifted	equivalent_to	3159	Definition:Expectation	0.9	equiv_section
20294	Definition:Ring of Polynomial Forms	equivalent_to	10500	Definition:Ring of Polynomials in Ring Element	0.9	equiv_section
21615	Definition:Field Norm of Complex Number	equivalent_to	6106	Definition:Norm	0.9	equiv_section
3353	Definition:Hasse Diagram	equivalent_to	11901	Definition:Vertex of Graph	0.9	equiv_section
15752	Definition:Addition in Minimally Inductive Set	equivalent_to	111	Definition:Binary Operation	0.9	equiv_section
2795	Definition:Diameter of Parallelogram	equivalent_to	1671	Definition:Parallelogram	0.9	equiv_section
7528	Definition:Positive/Rational Number	equivalent_to	19	Definition:Set	0.9	equiv_section
2624	Definition:Total Preordering	equivalent_to	16298	Definition:Game Theory	0.9	equiv_section
24375	Definition:String/Finite	equivalent_to	2243	Definition:Formal System	0.9	equiv_section
7737	Definition:Rig	equivalent_to	575	Definition:Semiring (Abstract Algebra)	0.9	equiv_section
10541	Definition:Polynomial Ring	equivalent_to	20294	Definition:Ring of Polynomial Forms	0.9	equiv_section
15752	Definition:Addition in Minimally Inductive Set	equivalent_to	127	Definition:Mapping	0.9	equiv_section
24921	Definition:Norm/Bounded Linear Transformation	equivalent_to	6598	Definition:Operator Norm	0.9	equiv_section
220	Definition:Image (Set Theory)	equivalent_to	127	Definition:Mapping	0.9	equiv_section
16277	Definition:Category Theory	equivalent_to	9435	Definition:Cartesian Closed Category	0.9	equiv_section
12366	Definition:Tableau Confutation	equivalent_to	24	Definition:Singleton	0.9	equiv_section
19	Definition:Set	equivalent_to	24427	Summation of Products of n Numbers taken m at a time with Repetitions	0.9	equiv_section
2628	Definition:Endorelation	equivalent_to	6173	Definition:Cofinal Subset	0.9	equiv_section
6303	Definition:Hilbert Space	equivalent_to	1712	Definition:Inner Product Space	0.9	equiv_section
578	Definition:Ring (Abstract Algebra)	equivalent_to	585	Definition:Unity (Abstract Algebra)/Ring	0.9	equiv_section
23532	Definition:Zero Locus of Subset of Ring	equivalent_to	23073	Definition:Vanishing Set of Subset of Ring	0.9	equiv_section
15313	Definition:Neighborhood Filter of Point	equivalent_to	15301	Definition:Neighborhood Filter/Point	0.9	equiv_section
25569	Definition:Sphere/Normed Division Ring	equivalent_to	24559	Definition:Metric Induced by Norm on Division Ring	0.9	equiv_section
2260	Definition:Argument	equivalent_to	7325	Definition:Integral of Positive Measurable Function	0.9	equiv_section
21048	Definition:Ore Number	equivalent_to	753	Definition:Summation	0.9	equiv_section
2603	Definition:Sierpiński Number of the Second Kind	equivalent_to	1842	Definition:Distinct	0.9	equiv_section
15699	Definition:Indexed Family	equivalent_to	15694	Definition:Indexing Set/Family	0.9	equiv_section
837	Definition:Prime Number	equivalent_to	19973	Definition:Ramanujan-Nagell Number	0.9	equiv_section
24921	Definition:Norm/Bounded Linear Transformation	equivalent_to	3291	Definition:Linear Operator	0.9	equiv_section
13197	Definition:Distinguish	equivalent_to	21069	Definition:Woodall Prime	0.9	equiv_section
134	Definition:Submagma	equivalent_to	133	Definition:Magma	0.9	equiv_section
16786	Definition:Radioactive Decay/Stable	equivalent_to	16780	Definition:Radioactive Isotope	0.9	equiv_section
1422	Definition:Polygon	equivalent_to	10684	Definition:Polygon/Height	0.9	equiv_section
15476	Definition:Commutative Algebraic Structure	equivalent_to	140	Definition:Commutative Semigroup	0.9	equiv_section
134	Definition:Submagma	equivalent_to	4840	Definition:Groupoid	0.9	equiv_section
1993	Definition:Absolute Convergence of Product	equivalent_to	19807	Definition:Convergent Product	0.9	equiv_section
