head_id,head_name,relation,tail_id,tail_name
19,Definition:Set,applied_in,4450,Cluster Point of Ultrafilter is Unique
19,Definition:Set,applied_in,4486,Countable Product of Separable Spaces is Separable
19,Definition:Set,applied_in,4503,Quasicomponent is Intersection of Clopen Sets
19,Definition:Set,equivalent_to,4593,Definition:Hom Class
19,Definition:Set,applied_in,4608,Zero Dimensional Space is T3
19,Definition:Set,applied_in,4705,Discrete Space is First-Countable
19,Definition:Set,applied_in,4707,Discrete Space is Paracompact
19,Definition:Set,applied_in,4718,Uncountable Discrete Space is not Lindelöf
19,Definition:Set,applied_in,4723,Discrete Space is Fully T4
19,Definition:Set,applied_in,4767,Basis for Partition Topology
19,Definition:Set,applied_in,4771,Quotient Topology of Partition Topology is Discrete Space
19,Definition:Set,applied_in,4802,Double Pointed Discrete Real Number Space is Weakly Countably Compact
19,Definition:Set,applied_in,4820,Compact Space in Particular Point Space
19,Definition:Set,applied_in,4825,Particular Point Space is Weakly Locally Compact
19,Definition:Set,applied_in,4837,Kronecker’s Theorem
19,Definition:Set,applied_in,4851,Particular Point Space is Scattered
19,Definition:Set,applied_in,4866,Particular Point Space is Locally Path-Connected
19,Definition:Set,applied_in,4887,Field of Uncountable Cardinality K has Transcendence Degree K
19,Definition:Set,applied_in,4901,Algebraic Numbers are Countable
19,Definition:Set,applied_in,4904,Polynomial over Field has Finitely Many Roots
19,Definition:Set,applied_in,4905,Set of Polynomials over Infinite Set has Same Cardinality
19,Definition:Set,applied_in,5000,Either-Or Topology is not T3
19,Definition:Set,applied_in,5009,Basis for Either-Or Topology
19,Definition:Set,applied_in,5012,Countable Stability implies Stability for All Infinite Cardinalities
19,Definition:Set,applied_in,5019,Subspace of Finite Complement Topology is Compact
19,Definition:Set,applied_in,5046,Countable Finite Complement Space is not Path-Connected
19,Definition:Set,applied_in,5060,Closed Unit Interval is not Countably Infinite Union of Disjoint Closed Sets
19,Definition:Set,applied_in,5064,Countable Complement Space is Lindelöf
19,Definition:Set,applied_in,5085,Compact Complement Space is T1
19,Definition:Set,applied_in,5224,Elementary Amalgamation Theorem
19,Definition:Set,applied_in,5226,Extension Realizing All Types
19,Definition:Set,applied_in,5255,Real Numbers are Uncountably Infinite/Cantor's Second Proof
19,Definition:Set,applied_in,5256,Real Numbers are Uncountably Infinite/Cantor's Diagonal Argument
19,Definition:Set,applied_in,5264,Tietze Extension Theorem/Lemma
19,Definition:Set,applied_in,5274,T2 1/2 Property is Hereditary
19,Definition:Set,applied_in,5561,Sum of Non-Consecutive Fibonacci Numbers
19,Definition:Set,applied_in,5612,Arens-Fort Space is Countable
19,Definition:Set,equivalent_to,5708,Definition:Generator of Subsemigroup
19,Definition:Set,equivalent_to,5709,Definition:Generated Algebraic Substructure
19,Definition:Set,applied_in,5722,Characterization of Class Membership
19,Definition:Set,applied_in,5757,Zermelo's Theorem (Set Theory)
19,Definition:Set,applied_in,5758,Cardinals are Totally Ordered
19,Definition:Set,applied_in,5836,Weierstrass's Theorem
19,Definition:Set,applied_in,5952,Semigroup is Subsemigroup of Itself
19,Definition:Set,applied_in,6051,Arens-Fort Space is not Extremally Disconnected
19,Definition:Set,applied_in,6172,Inner Limit of Sequence of Sets in Normed Space
19,Definition:Set,applied_in,6181,Inner Limit in Hausdorff Space by Set Closures
19,Definition:Set,applied_in,6198,Epsilon Relation is Strictly Well-Founded
19,Definition:Set,applied_in,6211,Local Basis of Topological Vector Space
19,Definition:Set,applied_in,6213,No Membership Loops
19,Definition:Set,applied_in,6227,Characterization of Lower Semicontinuity
19,Definition:Set,applied_in,6260,Union of Topologies is not necessarily Topology
19,Definition:Set,applied_in,6263,Surjection iff Right Inverse/Proof 1
19,Definition:Set,applied_in,6264,Surjection iff Right Inverse/Proof 2
19,Definition:Set,applied_in,6270,Injection iff Left Inverse/Proof 2
19,Definition:Set,applied_in,6286,Union of Topologies on Singleton or Doubleton is Topology
19,Definition:Set,applied_in,6398,Axiom of Pairing from Powers and Replacement
19,Definition:Set,applied_in,6399,Axiom of Pairing from Axiom of Specification
19,Definition:Set,applied_in,6400,Existence of Singleton Set
19,Definition:Set,applied_in,6407,Subset of Cartesian Product
19,Definition:Set,applied_in,6447,Intersection of Inductive Sets
19,Definition:Set,applied_in,6448,Minimally Inductive Set Exists
19,Definition:Set,applied_in,6451,Finite Ordinal is not Subset of one of its Elements
19,Definition:Set,applied_in,6453,Element of Minimally Inductive Set is Transitive Set
19,Definition:Set,applied_in,6486,Generalized Sum is Monotone
19,Definition:Set,applied_in,6611,Infinite Set has Countably Infinite Subset/Proof 3
19,Definition:Set,applied_in,6613,Infinite Set is Equivalent to Proper Subset/Proof 2
19,Definition:Set,applied_in,6658,Zorn's Lemma implies Axiom of Choice
19,Definition:Set,applied_in,6665,Axiom of Choice implies Hausdorff's Maximal Principle/Proof 2
19,Definition:Set,applied_in,6764,Inverse not always Unique for Non-Associative Operation
19,Definition:Set,applied_in,6796,General Associativity Theorem/Formulation 1
19,Definition:Set,applied_in,6848,Peak Point Lemma/Proof 1
19,Definition:Set,applied_in,6925,Sequentially Compact Metric Space is Compact/Proof 1
19,Definition:Set,applied_in,6941,Heine-Cantor Theorem/Proof 2
19,Definition:Set,applied_in,6974,Measure is Countably Subadditive
19,Definition:Set,applied_in,7065,Coset Product of Normal Subgroup is Consistent with Subset Product Definition
19,Definition:Set,applied_in,7150,Axiom of Dependent Choice Implies Axiom of Countable Choice
19,Definition:Set,applied_in,7151,Axiom of Choice Implies Axiom of Dependent Choice
19,Definition:Set,applied_in,7272,Set is Infinite iff exist Subsets of all Finite Cardinalities
19,Definition:Set,applied_in,7338,Ordered Semigroup Monomorphism into Image is Isomorphism
19,Definition:Set,applied_in,7420,Intermediate Value Theorem (Topology)
19,Definition:Set,applied_in,7429,Sum of Binomial Coefficients over Lower Index/Proof 2
19,Definition:Set,applied_in,7485,Cartesian Product of Semirings of Sets
19,Definition:Set,applied_in,7522,Maximal Ideal iff Quotient Ring is Field/Proof 2
19,Definition:Set,equivalent_to,7528,Definition:Positive/Rational Number
19,Definition:Set,equivalent_to,7538,Definition:Negative/Real Number
19,Definition:Set,applied_in,7600,Fermat's Little Theorem/Proof 1
19,Definition:Set,applied_in,7853,Cardinality of Power Set of Finite Set/Informal Proof
19,Definition:Set,applied_in,7862,Trichotomy is Antireflexive
19,Definition:Set,applied_in,7864,Left Cancellable Commutative Operation is Right Cancellable
19,Definition:Set,applied_in,7865,Right Cancellable Commutative Operation is Left Cancellable
19,Definition:Set,applied_in,7866,Uniqueness of Measures/Proof 2
19,Definition:Set,applied_in,7924,Mappings in Product of Sets are Surjections
19,Definition:Set,applied_in,7939,Measure with Density is Measure
19,Definition:Set,equivalent_to,7940,Definition:Indexing Set/Family of Sets
19,Definition:Set,applied_in,7951,Monotone Convergence Theorem (Measure Theory)
19,Definition:Set,applied_in,7966,Mappings in Product of Sets are Surjections/Family of Sets
19,Definition:Set,applied_in,8022,Product of Cardinals is Commutative
19,Definition:Set,applied_in,8023,Product of Cardinals is Associative
19,Definition:Set,applied_in,8036,Superset of Co-Countable Set
19,Definition:Set,applied_in,8040,Identity of Cardinal Product is One
19,Definition:Set,applied_in,8041,Zero of Cardinal Product is Zero
19,Definition:Set,applied_in,8043,Sum of Cardinals is Commutative
19,Definition:Set,applied_in,8044,Sum of Cardinals is Associative
19,Definition:Set,applied_in,8046,Identity of Cardinal Sum is Zero
19,Definition:Set,applied_in,8048,Cardinal Product Distributes over Cardinal Sum
19,Definition:Set,applied_in,8049,Ordering of Cardinals Compatible with Cardinal Product
19,Definition:Set,applied_in,8050,Ordering of Cardinals Compatible with Cardinal Sum
19,Definition:Set,applied_in,8053,Condition for Existence of Cardinal Sum
19,Definition:Set,applied_in,8054,Cardinal One is Cancellable for Cardinal Sum
19,Definition:Set,applied_in,8057,Infinite Set is Equivalent to Proper Subset/Proof 3
19,Definition:Set,applied_in,8060,Natural Numbers as Cardinals
